symbol,company_name,industry,sector,city,latitude,longitude,state,country
REG,Regency Centers Corporation,REIT - Retail,Real Estate,Jacksonville,30.3321838,-81.655651,FL,United States
JNPR,Juniper Networks Inc.,Communication Equipment,Technology,Sunnyvale,37.3688301,-122.036349,CA,United States
SOLV,Solventum Corporation,Health Information Services,Healthcare,Saint Paul,44.9497487,-93.0931028,MN,United States
JKHY,Jack Henry & Associates Inc.,Information Technology Services,Technology,Monett,36.9289518,-93.9277149,MO,United States
BXP,BXP Inc.,REIT - Office,Real Estate,Boston,42.3554334,-71.060511,MA,United States
CHRW,C.H. Robinson Worldwide Inc.,Integrated Freight & Logistics,Industrials,Eden Prairie,44.8546856,-93.470786,MN,United States
KMX,CarMax Inc.,Auto & Truck Dealerships,Consumer Discretionary,Richmond,37.5385087,-77.43428,VA,United States
NDSN,Nordson Corporation,Specialty Industrial Machinery,Industrials,Westlake,41.4553232,-81.9179174,OH,United States
TECH,Bio-Techne Corporation,Biotechnology,Healthcare,Minneapolis,44.9772995,-93.2654692,MN,United States
HST,Host Hotels & Resorts Inc.,REIT - Hotel & Motel,Real Estate,Bethesda,38.98127255,-77.12335871,MD,United States
CAG,Conagra Brands Inc.,Packaged Foods,Consumer Staples,Chicago,41.8755616,-87.6244212,IL,United States
CPT,Camden Property Trust,REIT - Residential,Real Estate,Houston,29.7589382,-95.3676974,TX,United States
NCLH,Norwegian Cruise Line Holdings Ltd.,Travel Services,Consumer Discretionary,Miami,25.7741728,-80.19362,FL,United States
ALLE,Allegion plc,Security & Protection Services,Industrials,Dublin,53.35014,-6.266155,NaN,Ireland
CPB,The Campbell's Company,Packaged Foods,Consumer Staples,Camden,39.9448402,-75.1198911,NJ,United States
PAYC,Paycom Software Inc.,Software - Application,Technology,Oklahoma City,35.4729886,-97.5170536,OK,United States
TAP,Molson Coors Beverage Company,Beverages - Brewers,Consumer Staples,Golden,39.7546349,-105.22058,CO,United States
DAY,Dayforce Inc.,Software - Application,Technology,Minneapolis,44.9772995,-93.2654692,MN,United States
BG,Bunge Global SA,Farm Products,Consumer Staples,Chesterfield,38.661953,-90.5643258,MO,United States
SJM,The J. M. Smucker Company,Packaged Foods,Consumer Staples,Orrville,40.8436664,-81.7640212,OH,United States
EMN,Eastman Chemical Company,Specialty Chemicals,Materials,Kingsport,36.550238,-82.5594293,TN,United States
AIZ,Assurant Inc.,Insurance - Property & Casualty,Financial Services,Atlanta,33.7489924,-84.3902644,GA,United States
ALB,Albemarle Corporation,Specialty Chemicals,Materials,Charlotte,35.2272086,-80.8430827,NC,United States
IPG,The Interpublic Group of Companies Inc.,Advertising Agencies,Communication Services,New York,40.7127281,-74.0060152,NY,United States
AOS,A. O. Smith Corporation,Specialty Industrial Machinery,Industrials,Milwaukee,43.0386475,-87.9090751,WI,United States
WBA,Walgreens Boots Alliance Inc.,Pharmaceutical Retailers,Healthcare,Deerfield,42.1711365,-87.8445119,IL,United States
LKQ,LKQ Corporation,Auto Parts,Consumer Discretionary,Chicago,41.8755616,-87.6244212,IL,United States
GL,Globe Life Inc.,Insurance - Life,Financial Services,McKinney,33.1976496,-96.6154471,TX,United States
MGM,MGM Resorts International,Resorts & Casinos,Consumer Discretionary,Las Vegas,36.1672559,-115.148516,NV,United States
PNW,Pinnacle West Capital Corporation,Utilities - Regulated Electric,Utilities,Phoenix,33.4484367,-112.074141,AZ,United States
HSIC,Henry Schein Inc.,Medical Distribution,Healthcare,Melville,40.7835914,-73.40755752,NY,United States
GNRC,Generac Holdings Inc.,Specialty Industrial Machinery,Industrials,Waukesha,43.0622536,-88.3123889,WI,United States
WYNN,Wynn Resorts Limited,Resorts & Casinos,Consumer Discretionary,Las Vegas,36.1672559,-115.148516,NV,United States
MOS,The Mosaic Company,Agricultural Inputs,Materials,Tampa,27.9477595,-82.458444,FL,United States
FRT,Federal Realty Investment Trust,REIT - Retail,Real Estate,North Bethesda,39.04064995,-77.12338735,MD,United States
APA,APA Corporation,Oil & Gas Exploration & Production,Energy,Houston,29.7589382,-95.3676974,TX,United States
LW,Lamb Weston Holdings Inc.,Packaged Foods,Consumer Staples,Eagle,43.6954424,-116.3540138,ID,United States
CRL,Charles River Laboratories International Inc.,Diagnostics & Research,Healthcare,Wilmington,42.5464828,-71.1736669,MA,United States
MKTX,MarketAxess Holdings Inc.,Capital Markets,Financial Services,New York,40.7127281,-74.0060152,NY,United States
TFX,Teleflex Incorporated,Medical Instruments & Supplies,Healthcare,Wayne,41.6264414,-75.3045103,PA,United States
MTCH,Match Group Inc.,Internet Content & Information,Communication Services,Dallas,32.7762719,-96.7968559,TX,United States
MHK,Mohawk Industries Inc.,Furnishings Fixtures & Appliances,Consumer Discretionary,Calhoun,31.5311784,-84.614328,GA,United States
AES,The AES Corporation,Utilities - Diversified,Utilities,Arlington,38.8769326,-77.0893094,VA,United States
CE,Celanese Corporation,Chemicals,Materials,Irving,32.8295183,-96.9442177,TX,United States
HAS,Hasbro Inc.,Leisure,Consumer Discretionary,Pawtucket,41.8789531,-71.3821203,RI,United States
HII,Huntington Ingalls Industries Inc.,Aerospace & Defense,Industrials,Newport News,36.9775016,-76.42977,VA,United States
IVZ,Invesco Ltd.,Asset Management,Financial Services,Atlanta,33.7489924,-84.3902644,GA,United States
CZR,Caesars Entertainment Inc.,Resorts & Casinos,Consumer Discretionary,Reno,39.5261206,-119.8126581,NV,United States
PARA,Paramount Global,Entertainment,Communication Services,New York,40.7127281,-74.0060152,NY,United States
BWA,BorgWarner Inc.,Auto Parts,Consumer Discretionary,Auburn Hills,42.6875323,-83.2341028,MI,United States
FMC,FMC Corporation,Agricultural Inputs,Materials,Philadelphia,39.9527237,-75.1635262,PA,United States
